loss,accuracy,val_loss,val_accuracy
2.7795469760894775,0.3041824996471405,0.8132224678993225,0.6785714030265808
0.6655353903770447,0.7395437359809875,0.689600944519043,0.6964285969734192
0.5685580372810364,0.7832699418067932,0.5859411954879761,0.7678571343421936
0.43185868859291077,0.8346007466316223,0.8132002949714661,0.6294642686843872
0.4006127715110779,0.8498098850250244,0.8890972137451172,0.6875
0.3741229772567749,0.8621672987937927,0.5010899305343628,0.7946428656578064
0.2504900097846985,0.9173004031181335,0.4932006299495697,0.8125
0.17723654210567474,0.9581748843193054,0.5804332494735718,0.7678571343421936
0.16545961797237396,0.9610266089439392,0.5234307050704956,0.7857142686843872
0.20657432079315186,0.9296578168869019,0.5495928525924683,0.7857142686843872
0.1394370198249817,0.9695817232131958,0.6709009408950806,0.7276785969734192
0.18297085165977478,0.9448668956756592,0.46067067980766296,0.8303571343421936
0.11141657829284668,0.9705322980880737,0.5894553065299988,0.7633928656578064
0.13365976512432098,0.9619771838188171,0.419410765171051,0.8482142686843872
0.08755789697170258,0.9914448857307434,0.40174204111099243,0.8616071343421936
0.06941132992506027,0.9952471256256104,0.39807623624801636,0.8705357313156128
0.0674394741654396,0.9961977005004883,0.39577820897102356,0.8571428656578064
0.0641360729932785,0.9952471256256104,0.40040111541748047,0.8526785969734192
0.05554720386862755,0.9990494251251221,0.39077165722846985,0.8482142686843872
0.04869718477129936,1.0,0.4473094046115875,0.8125
0.04974804073572159,1.0,0.389075368642807,0.8616071343421936
